email,name,age,gender,married
prashanth1@mailinator.com,Prashanth 1,30,MALE,TRUE
prashanth1@mailinator.com,Prashanth 2,21,MALE,TRUE
prashanth1@mailinator.com,Prashanth 3,22,MALE,TRUE
prashanth2@mailinator.com,Prashanth 4,23,MALE,TRUE
prashanth1@mailinator.com,Prashanth 5,25,MALE,FALSE
prashanth1@mailinator.com,Prashanth 6,25,MALE,TRUE
prashanth1@mailinator.com,Prashanth 7,25,MALE,TRUE
prashanth1@mailinator.com,Prashanth 8,25,MALE,TRUE
prashanth1@mailinator.com,Prashanth 9,25,MALE,TRUE
prashanth1@mailinator.com,Prashanth 10,25,MALE,TRUE
prashanth1@mailinator.com,Prashanth 11,25,MALE,TRUE
prashanth1@mailinator.com,Prashanth 12,25,MALE,TRUE
prashanth3@mailinator.com,Prashanth 13,35,MALE,FALSE
prashanth4@mailinator.com,Prashanth 13,35,MALE,FALSE
